experiment,condition,model,memory,avg_accuracy,squared_error,ape,word_type
Exp3,Conflict-first,might_5.0,5,0.17608499999999952,0.00290682722500005,0.234413043478263,filler
Exp3,Conflict-first,might_5.0,5,0.17608499999999952,0.03278194763316344,0.5069620000000014,filler
Exp3,Conflict-first,might_5.5,5.5,0.18199499999999952,0.00230448002500004,0.20871739130434996,filler
Exp3,Conflict-first,might_5.5,5.5,0.18199499999999952,0.03067677186173486,0.49041400000000135,filler
Exp3,Conflict-first,might_6.0,6,0.18612499999999976,0.00192501562500002,0.19076086956521857,filler
Exp3,Conflict-first,might_6.0,6,0.18612499999999976,0.02924710746173478,0.4788500000000008,filler
Exp3,Conflict-first,might_6.5,6.5,0.19183500000000084,0.00145656722499993,0.16593478260869204,filler
Exp3,Conflict-first,might_6.5,6.5,0.19183500000000084,0.02732668763316299,0.46286199999999766,filler
Exp3,Conflict-first,might_7.0,7,0.1953250000000027,0.00120235562499981,0.15076086956520574,filler
Exp3,Conflict-first,might_7.0,7,0.1953250000000027,0.02618501889030525,0.4530899999999925,filler
Exp3,Conflict-first,might_7.5,7.5,0.20338500000000043,7.083582249999778e-4,0.115717391304346,filler
Exp3,Conflict-first,might_7.5,7.5,0.20338500000000043,0.02364147863316313,0.4305219999999988,filler
Exp3,Conflict-first,might_8.0,8,0.20733000000000065,5.139288999999721e-4,0.09856521739130168,filler
Exp3,Conflict-first,might_8.0,8,0.20733000000000065,0.02244389216530594,0.41947599999999824,filler
Exp3,Conflict-first,might_8.5,8.5,0.21389500000000092,2.593710249999708e-4,0.07002173913043083,filler
Exp3,Conflict-first,might_8.5,8.5,0.21389500000000092,0.02051994857602014,0.40109399999999745,filler
Exp3,Conflict-first,might_9.0,9,0.21835000000000868,1.357224999997981e-4,0.0506521739130058,filler
Exp3,Conflict-first,might_9.0,9,0.21835000000000868,0.01926345719387514,0.3886199999999757,filler
Exp3,Conflict-first,might_9.5,9.5,0.2241549999999999,3.416402500000085e-5,0.02541304347826118,filler
Exp3,Conflict-first,might_9.5,9.5,0.2241549999999999,0.01768577014744899,0.3723660000000002,filler
Exp3,Conflict-first,might_10.0,10,0.36949999999999944,0.01946024999999984,0.6065217391304323,target
Exp3,Conflict-first,might_10.0,10,0.36949999999999944,1.526989795918227e-4,0.03459999999999841,target
Exp3,Conflict-first,might_10.5,10.5,0.3734624999999994,0.02058148890624983,0.6237499999999974,target
