experiment,condition,model,memory,avg_accuracy,squared_error,ape
Yurovsky,2 recency second meaning,might,6,0.3855716030753754,0.01727342351817667,0.25421353370333577
Yurovsky,2 recency singleton,might,6,0.42231131743687134,0.02550047533874766,0.27437917966173303
Yurovsky,1 both first meaning,might,6.5,0.39881339989870496,0.01567168484492157,0.2389057253841509
Yurovsky,1 both second meaning,might,6.5,0.3843677662037037,0.00853180423346207,0.3163279664510402
Yurovsky,1 both singleton,might,6.5,0.4819607037721641,0.02561257633710103,0.24928239287824916
Yurovsky,1 primacy first meaning,might,6.5,0.4473739057940809,0.01758968086431732,0.22866567966537776
Yurovsky,1 primacy singleton,might,6.5,0.479861397008371,0.02628892658007709,0.2525523411084564
Yurovsky,1 recency second meaning,might,6.5,0.4808574755153756,8.492867333369326e-4,0.05714220487181255
Yurovsky,1 recency singleton,might,6.5,0.4797134394158573,0.02633692774623062,0.25278280464819736
Yurovsky,2 both first meaning,might,6.5,0.33302519066327707,2.8814415201809516e-4,0.04849945524777974
Yurovsky,2 both second meaning,might,6.5,0.3614347475635671,2.4227708340988092e-4,0.04128714174120138
Yurovsky,2 both singleton,might,6.5,0.4463294476824868,0.01655611103369389,0.2237748735956751
Yurovsky,2 primacy first meaning,might,6.5,0.3799869904596704,0.02073974691686306,0.2748339876723847
Yurovsky,2 primacy singleton,might,6.5,0.44130525437864887,0.00635125247965186,0.15296496280489663
Yurovsky,2 recency second meaning,might,6.5,0.400949748387554,0.01346766089931203,0.2244685717842283
Yurovsky,2 recency singleton,might,6.5,0.4478075687753107,0.01800760859799296,0.23057118767128745
Yurovsky,1 both first meaning,might,7,0.41300795680591074,0.01231923365239858,0.21181687632459784
Yurovsky,1 both second meaning,might,7,0.3911193541348462,0.00982464636410906,0.33944984292755565
Yurovsky,1 both singleton,might,7,0.5137865137865137,0.01643869804701583,0.1997094800833119
Yurovsky,1 primacy first meaning,might,7,0.46883412714847794,0.01235785128684076,0.19166529801986557
Yurovsky,1 primacy singleton,might,7,0.5118000136416343,0.01695203644771862,0.2028037170691055
Yurovsky,1 recency second meaning,might,7,0.49811927232936665,1.4115168998375324e-4,0.02329554445222228
Yurovsky,1 recency singleton,might,7,0.5155855671509447,0.01598060883254831,0.19690721627578703
Yurovsky,2 both first meaning,might,7,0.3408917391968239,8.296041485867341e-5,0.02602360229478874
Yurovsky,2 both second meaning,might,7,0.3706753340556158,4.000139930805315e-5,0.01677630223974586
Yurovsky,2 both singleton,might,7,0.4742455418381344,0.0101514608394911,0.17522514462933134
Yurovsky,2 primacy first meaning,might,7,0.392724413950829,0.0172332794925533,0.2505259275747538
Yurovsky,2 primacy singleton,might,7,0.4727184600470849,0.00233110710022493,0.09267090202095032
Yurovsky,2 recency second meaning,might,7,0.4092312008978676,0.01161411405991578,0.20845028839870877
Yurovsky,2 recency singleton,might,7,0.4673209366391184,0.01315128757332907,0.1970430641939545
Yurovsky,1 both first meaning,might,7.5,0.43419019525214214,0.00806580102884835,0.17139275715240052
Yurovsky,1 both second meaning,might,7.5,0.38548951048951047,0.00874028857156829,0.3201695564709263
Yurovsky,1 both singleton,might,7.5,0.5441186452182176,0.00958075961391715,0.15246316944202865
Yurovsky,1 primacy first meaning,might,7.5,0.5005118755118755,0.00631836193463957,0.13704849049676637
Yurovsky,1 primacy singleton,might,7.5,0.5464015151515151,0.00913907030532599,0.14890729727178328
Yurovsky,1 recency second meaning,might,7.5,0.5132764343290659,1.0735021912681386e-5,0.00642438103738407
Yurovsky,1 recency singleton,might,7.5,0.5460401410360727,0.00920829453237682,0.1494701853020675
Yurovsky,2 both first meaning,might,7.5,0.3446569178852643,2.854852648480814e-5,0.01526594889924475
Yurovsky,2 both second meaning,might,7.5,0.3759352073799666,1.133783323677581e-6,0.00282438360751563
Yurovsky,2 both singleton,might,7.5,0.4997954173486088,0.00565572925176991,0.13079057852415849
Yurovsky,2 primacy first meaning,might,7.5,0.40993087882635065,0.0130117644053287,0.2176891625451324
Yurovsky,2 primacy singleton,might,7.5,0.49797875984926343,5.299774980778864e-4,0.04418664136417771
Yurovsky,2 recency second meaning,might,7.5,0.424258326336412,0.00860101803392346,0.1793842817477525
Yurovsky,2 recency singleton,might,7.5,0.5043032786885246,0.00603678050255306,0.13349952115373767
Yurovsky,1 both first meaning,might,8,0.45882802193987365,0.00424738672426959,0.12437400393153888
Yurovsky,1 both second meaning,might,8,0.3779970760233918,0.00739549708457302,0.2945105343266842
Yurovsky,1 both singleton,might,8,0.5878824639439277,0.00292870770878028,0.08429522750167022
Yurovsky,1 primacy first meaning,might,8,0.5240231056744818,0.00313341269833022,0.09651188676813469
Yurovsky,1 primacy singleton,might,8,0.5922859450726979,0.0024714872573148,0.07743622262819638
Yurovsky,1 recency second meaning,might,8,0.5195283465098993,9.078938721271036e-5,0.01868303237235159
Yurovsky,1 recency singleton,might,8,0.5924055746313875,0.00245960702764287,0.07724988375173282
Yurovsky,2 both first meaning,might,8,0.3530598520511096,9.362694574679908e-6,0.00874243443174184
Yurovsky,2 both second meaning,might,8,0.3798249390156407,7.980280442088944e-6,0.00749320693803894
Yurovsky,2 both singleton,might,8,0.5285665990534144,0.00215606072346637,0.08075374077667052
