experiment,condition,model,memory,avg_accuracy,squared_error,ape
Exp2,Retrieval One-shot,expt1,3,0.11729999999999983,0.1235171025000001,0.7497600000000003
Exp2,Retrieval One-shot,expt1,3.5,0.1142500000000005,0.12567024999999962,0.7562666666666655
Exp2,Retrieval One-shot,expt1,4,0.11715000000000028,0.12362255999999984,0.7500799999999994
Exp2,Retrieval One-shot,expt1,4.5,0.12249999999999985,0.11988906250000012,0.738666666666667
Exp2,Retrieval One-shot,expt1,5,0.13270000000000018,0.11292960249999988,0.7169066666666664
Exp2,Retrieval One-shot,expt1,5.5,0.14070000000000035,0.10761680249999976,0.6998399999999992
Exp2,Retrieval One-shot,expt1,6,0.1594999999999999,0.09563556250000008,0.6597333333333336
Exp2,Retrieval One-shot,expt1,6.5,0.1701999999999996,0.08913210250000025,0.6369066666666676
Exp2,Retrieval One-shot,expt1,7,0.1951000000000021,0.07488432249999885,0.5837866666666621
Exp2,Retrieval One-shot,expt1,7.5,0.21384999999999976,0.06497401000000012,0.5437866666666672
Exp2,Retrieval One-shot,expt1,8,0.2512500000000002,0.04730624999999992,0.4639999999999996
Exp2,Retrieval One-shot,expt1,8.5,0.2854000000000009,0.03361722249999967,0.3911466666666648
Exp2,Retrieval One-shot,expt1,9,0.325600000000001,0.02049192249999971,0.30538666666666453
Exp2,Retrieval One-shot,expt1,9.5,0.36920000000000047,0.0099102024999999,0.21237333333333233
Exp2,Retrieval One-shot,expt1,10,0.43575000000000064,0.00108899999999995,0.07039999999999864
Exp2,Retrieval One-shot,expt1,10.5,0.48269999999999946,1.94602499999985e-4,0.02975999999999885
Exp2,Retrieval One-shot,expt1,11,0.5479999999999988,0.00628056249999981,0.16906666666666414
Exp2,Retrieval One-shot,expt1,11.5,0.6198500000000003,0.0228312100000001,0.3223466666666674
Exp2,Retrieval One-shot,expt1,12,0.6839500000000003,0.04631104000000012,0.4590933333333339
Exp2,Retrieval One-shot,expt1,12.5,0.7561499999999997,0.0825987599999998,0.6131199999999992
Exp2,Retrieval Target,expt1,3,0.14029999999999962,0.2113240900000003,0.7661666666666672
Exp2,Retrieval Target,expt1,3.5,0.15754999999999977,0.1957620025000002,0.737416666666667
Exp2,Retrieval Target,expt1,4,0.184349999999999,0.1727649225000008,0.6927500000000016
Exp2,Retrieval Target,expt1,4.5,0.21165000000000023,0.1508157224999998,0.6472499999999997
Exp2,Retrieval Target,expt1,5,0.24610000000000012,0.1252452099999999,0.5898333333333332
Exp2,Retrieval Target,expt1,5.5,0.27754999999999974,0.10397400250000016,0.5374166666666671
Exp2,Retrieval Target,expt1,6,0.32429999999999976,0.07601049000000012,0.4595000000000004
Exp2,Retrieval Target,expt1,6.5,0.3553999999999991,0.05982916000000043,0.4076666666666681
Exp2,Retrieval Target,expt1,7,0.405350000000001,0.03788862249999961,0.324416666666665
Exp2,Retrieval Target,expt1,7.5,0.445500000000002,0.02387024999999937,0.2574999999999966
Exp2,Retrieval Target,expt1,8,0.4957499999999998,0.01086806250000003,0.1737500000000003
Exp2,Retrieval Target,expt1,8.5,0.5412500000000006,0.00345156249999993,0.0979166666666657
Exp2,Retrieval Target,expt1,9,0.5817000000000001,3.348899999999953e-4,0.03049999999999978
Exp2,Retrieval Target,expt1,9.5,0.6311500000000005,9.703225000000352e-4,0.05191666666666761
Exp2,Retrieval Target,expt1,10,0.6806000000000011,0.00649636000000018,0.1343333333333352
Exp2,Retrieval Target,expt1,10.5,0.72465,0.01553762250000001,0.20775000000000007
Exp2,Retrieval Target,expt1,11,0.76905,0.02857790250000001,0.28175000000000006
