experiment,condition,model,memory,avg_accuracy,squared_error,ape,word_type,cond,block
Exp4,same target pre-flush,might,5.5,0.6457999999999998,0.02696164000000008,0.2027160493827163,target,same target pre-flush,pre-flush
Exp4,same target pre-flush,might,6,0.6904500000000009,0.01429220249999979,0.14759259259259155,target,same target pre-flush,pre-flush
Exp4,same target pre-flush,might,6.5,0.7262499999999997,0.00701406250000005,0.10339506172839544,target,same target pre-flush,pre-flush
Exp4,same target pre-flush,might,7,0.7468000000000007,0.00399423999999992,0.07802469135802391,target,same target pre-flush,pre-flush
Exp4,same target pre-flush,might,7.5,0.7786999999999995,9.796900000000343e-4,0.03864197530864265,target,same target pre-flush,pre-flush
Exp4,same target pre-flush,might,8,0.7956499999999999,2.0592250000000563e-4,0.01771604938271629,target,same target pre-flush,pre-flush
Exp4,same target pre-flush,might,8.5,0.8044999999999997,3.0250000000004327e-5,0.0067901234567906,target,same target pre-flush,pre-flush
Exp4,same target pre-flush,might,9,0.8253000000000008,2.340900000000232e-4,0.01888888888888982,target,same target pre-flush,pre-flush
Exp4,same target pre-flush,might,9.5,0.8420000000000002,0.001024,0.03950617283950634,target,same target pre-flush,pre-flush
Exp4,same target pre-flush,might,10,0.8529000000000002,0.00184041000000001,0.05296296296296315,target,same target pre-flush,pre-flush
Exp4,same target pre-flush,might,10.5,0.8620999999999998,0.00271440999999996,0.06432098765432062,target,same target pre-flush,pre-flush
Exp4,same target pre-flush,might,11,0.87625,0.00438906249999998,0.08179012345679001,target,same target pre-flush,pre-flush
Exp4,same target pre-flush,might,11.5,0.8891000000000006,0.00625681000000008,0.09765432098765492,target,same target pre-flush,pre-flush
Exp4,same target pre-flush,might,12,0.9103000000000004,0.01006009000000007,0.12382716049382764,target,same target pre-flush,pre-flush
Exp4,same target pre-flush,might,12.5,0.9287499999999996,0.01410156249999987,0.14660493827160426,target,same target pre-flush,pre-flush
Exp4,switch target post-flush,might,3,0.3252500000000012,0.10087429719387676,0.4940555555555536,target,switch target post-flush,post-flush
Exp4,switch target post-flush,might,3.5,0.3606500000000002,0.07964087147959169,0.43898888888888854,target,switch target post-flush,post-flush
Exp4,switch target post-flush,might,4,0.3940999999999994,0.06188011612244925,0.3869555555555565,target,switch target post-flush,post-flush
Exp4,switch target post-flush,might,4.5,0.41005000000000064,0.0541991657653058,0.3621444444444434,target,switch target post-flush,post-flush
Exp4,switch target post-flush,might,5,0.42309999999999987,0.04829320183673472,0.34184444444444456,target,switch target post-flush,post-flush
Exp4,switch target post-flush,might,5.5,0.4306999999999997,0.04501065326530625,0.3300222222222227,target,switch target post-flush,post-flush
Exp4,switch target post-flush,might,6,0.4321999999999994,0.04437643183673491,0.32768888888888975,target,switch target post-flush,post-flush
Exp4,switch target post-flush,might,6.5,0.4297500000000002,0.04541465433673459,0.33149999999999963,target,switch target post-flush,post-flush
Exp4,switch target post-flush,might,7,0.42994999999999967,0.04532945147959195,0.33118888888888937,target,switch target post-flush,post-flush
Exp4,switch target post-flush,might,7.5,0.4277500000000002,0.04627108290816316,0.33461111111111075,target,switch target post-flush,post-flush
Exp4,switch target post-flush,might,8,0.4333500000000007,0.04389324290816295,0.32589999999999886,target,switch target post-flush,post-flush
Exp4,switch target post-flush,might,8.5,0.41735000000000017,0.05085347147959173,0.3507888888888886,target,switch target post-flush,post-flush
Exp4,switch target post-flush,might,9,0.42415000000000014,0.04783281433673461,0.34021111111111085,target,switch target post-flush,post-flush
Exp4,switch target post-flush,might,9.5,0.4267500000000005,0.0467022971938773,0.3361666666666658,target,switch target post-flush,post-flush
Exp4,switch target post-flush,might,10,0.42954999999999993,0.04549993719387755,0.33181111111111117,target,switch target post-flush,post-flush
Exp4,switch target post-flush,might,10.5,0.4257499999999995,0.04713551147959202,0.3377222222222229,target,switch target post-flush,post-flush
Exp4,switch target post-flush,might,11,0.42585,0.04709210005102038,0.33756666666666657,target,switch target post-flush,post-flush
Exp4,switch target post-flush,might,11.5,0.4249499999999992,0.04748352290816358,0.3389666666666678,target,switch target post-flush,post-flush
Exp4,switch target post-flush,might,12,0.4244499999999999,0.04770168005102043,0.33974444444444457,target,switch target post-flush,post-flush
Exp4,switch target post-flush,might,12.5,0.4249500000000001,0.04748352290816322,0.3389666666666665,target,switch target post-flush,post-flush
Exp4,switch target pre-flush,might,3,0.1160999999999996,0.10256879677685976,0.7339375000000009,target,switch target pre-flush,pre-flush
Exp4,switch target pre-flush,might,3.5,0.11494999999999976,0.103306725640496,0.7365729166666671,target,switch target pre-flush,pre-flush
Exp4,switch target pre-flush,might,4,0.12984999999999963,0.09395060927685972,0.7024270833333341,target,switch target pre-flush,pre-flush
Exp4,switch target pre-flush,might,4.5,0.13509999999999942,0.09075977859504168,0.6903958333333348,target,switch target pre-flush,pre-flush
Exp4,switch target pre-flush,might,5,0.14615000000000017,0.08422395473140484,0.6650729166666662,target,switch target pre-flush,pre-flush
Exp4,switch target pre-flush,might,5.5,0.1561499999999999,0.07851968200413227,0.6421562500000002,target,switch target pre-flush,pre-flush
Exp4,switch target pre-flush,might,6,0.16964999999999977,0.07113616382231415,0.6112187500000005,target,switch target pre-flush,pre-flush
Exp4,switch target pre-flush,might,6.5,0.1843000000000004,0.06353607677685928,0.5776458333333324,target,switch target pre-flush,pre-flush
