experiment,condition,id,phase,block,word_type,item,word,word_i,exposure,accuracy,selection,correct1,correct2,correct3,value,value1,value2,value3
4,same,2,test,flush,filler,63,nortle,9,4,1,target_4,0,1,1,acorn,cookie,acorn,acorn
4,same,2,test,flush,filler,64,vep,10,4,0,foil2,0,0,0,marker,mitt,scissors,harp
4,same,2,test,flush,filler,65,kuabid,11,4,0,random3,0,0,1,bag,dresser,rose,paperclip
4,same,2,test,flush,filler,66,wug,12,4,0,random1_1,0,0,0,bowlingpin,plane,hat,mitt
4,same,2,test,flush,filler,67,smick,13,4,0,foil1_3,0,0,0,pencil,pencil,helmet,pineapple
4,same,2,test,flush,filler,68,channer,14,4,0,random4,0,0,0,shuttlecock,lamp,screwdriver,plane
4,same,2,test,pre-flush,target,69,yate,1,4,0,random5,1,0,0,wrench,ball,book,bat
4,same,2,test,pre-flush,target,70,fendle,2,4,0,random4,1,0,0,sunflower,camera,clover,orchid
4,same,2,test,pre-flush,target,71,mipen,3,4,0,foil2,1,0,1,hammer,drill,bat,drill
4,same,2,test,pre-flush,target,72,dax,4,4,0,random4,1,1,1,bus,clarinet,clarinet,clarinet
4,same,2,debrief,debrief,NA,Cheat,NA,NA,NA,NA,NA,NA,NA,NA,My data is good,NA,NA,NA
4,same,2,debrief,debrief,NA,Strategies,NA,NA,NA,NA,NA,NA,NA,NA,Try and figure out how short the word is in relation to how short the word is in English.,NA,NA,NA
4,same,2,debrief,debrief,NA,WriteDown,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA
4,same,2,debrief,debrief,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,NA,NA
4,same,4,learning,warm-up,filler,1,glemp,5,1,0,obj4_1,0,NA,NA,eraser,eraser,NA,NA
4,same,4,learning,warm-up,filler,2,heek,6,1,0,obj1_1,0,NA,NA,broccoli,broccoli,NA,NA
4,same,4,learning,warm-up,filler,3,toma,7,1,0,obj2_1,0,NA,NA,flute,flute,NA,NA
4,same,4,learning,warm-up,filler,4,blicket,8,1,0,obj4_1,0,NA,NA,hat,hat,NA,NA
4,same,4,learning,warm-up,filler,5,nortle,9,1,0,obj1_1,0,NA,NA,acorn,acorn,NA,NA
4,same,4,learning,warm-up,filler,6,vep,10,1,0,obj4_1,0,NA,NA,scissors,scissors,NA,NA
4,same,4,learning,warm-up,filler,7,kuabid,11,1,0,obj2_1,0,NA,NA,paperclip,paperclip,NA,NA
4,same,4,learning,warm-up,filler,8,wug,12,1,0,obj2_1,0,NA,NA,racket,racket,NA,NA
4,same,4,learning,warm-up,filler,9,smick,13,1,0,obj1_1,0,NA,NA,sandwich,sandwich,NA,NA
4,same,4,learning,warm-up,filler,10,channer,14,1,0,obj2_1,0,NA,NA,phone,phone,NA,NA
4,same,4,learning,pre-flush,target,11,yate,1,1,1,obj2_1,1,NA,NA,apple,apple,NA,NA
4,same,4,learning,pre-flush,target,12,fendle,2,1,1,obj1_1,1,NA,NA,bike,bike,NA,NA
4,same,4,learning,pre-flush,target,13,mipen,3,1,1,obj2_1,1,NA,NA,dress,dress,NA,NA
4,same,4,learning,pre-flush,target,14,dax,4,1,1,obj3_1,1,NA,NA,clarinet,clarinet,NA,NA
4,same,4,learning,pre-flush,target,15,yate,1,2,1,obj1_2,1,1,NA,apple,apple,apple,NA
4,same,4,learning,pre-flush,target,16,fendle,2,2,1,obj1_1,1,1,NA,bike,bike,bike,NA
4,same,4,learning,pre-flush,target,17,mipen,3,2,1,obj1_2,1,1,NA,dress,dress,dress,NA
4,same,4,learning,pre-flush,target,18,dax,4,2,1,obj1_3,1,1,NA,clarinet,clarinet,clarinet,NA
4,same,4,learning,pre-flush,target,19,yate,1,3,1,obj1_2,1,1,1,apple,apple,apple,apple
4,same,4,learning,pre-flush,target,20,fendle,2,3,1,obj1_1,1,1,1,bike,bike,bike,bike
4,same,4,learning,pre-flush,target,21,mipen,3,3,1,obj1_2,1,1,1,dress,dress,dress,dress
4,same,4,learning,pre-flush,target,22,dax,4,3,1,obj1_3,1,1,1,clarinet,clarinet,clarinet,clarinet
4,same,4,learning,flush,filler,23,glemp,5,2,0,obj4_4,0,0,NA,notebook,eraser,notebook,NA
4,same,4,learning,flush,filler,24,heek,6,2,0,obj2_1,0,0,NA,pliers,broccoli,pliers,NA
4,same,4,learning,flush,filler,25,toma,7,2,1,obj1_2,0,1,NA,controller,flute,controller,NA
4,same,4,learning,flush,filler,26,blicket,8,2,0,obj2_4,0,0,NA,palm,hat,palm,NA
4,same,4,learning,flush,filler,27,nortle,9,2,0,obj2_1,0,0,NA,car,acorn,car,NA
4,same,4,learning,flush,filler,28,vep,10,2,0,obj2_4,0,0,NA,mitt,scissors,mitt,NA
4,same,4,learning,flush,filler,29,kuabid,11,2,1,obj1_2,0,1,NA,helicopter,paperclip,helicopter,NA
4,same,4,learning,flush,filler,30,wug,12,2,0,obj2_2,0,0,NA,plane,racket,plane,NA
4,same,4,learning,flush,filler,31,smick,13,2,1,obj1_1,0,1,NA,guitar,sandwich,guitar,NA
4,same,4,learning,flush,filler,32,channer,14,2,0,obj4_1,0,0,NA,cookie,phone,cookie,NA
4,same,4,learning,flush,filler,33,glemp,5,3,0,obj2_1,0,0,0,saw,eraser,notebook,saw
4,same,4,learning,flush,filler,34,heek,6,3,0,obj3_2,0,0,0,acorn,broccoli,pliers,acorn
4,same,4,learning,flush,filler,35,toma,7,3,1,obj1_2,0,1,1,controller,flute,controller,controller
4,same,4,learning,flush,filler,36,blicket,8,3,1,obj1_1,0,0,1,palm,hat,palm,palm
4,same,4,learning,flush,filler,37,nortle,9,3,0,obj2_2,0,0,0,rose,acorn,car,rose
4,same,4,learning,flush,filler,38,vep,10,3,1,obj1_1,0,0,1,mitt,scissors,mitt,mitt
4,same,4,learning,flush,filler,39,kuabid,11,3,1,obj1_2,0,1,1,helicopter,paperclip,helicopter,helicopter
4,same,4,learning,flush,filler,40,wug,12,3,1,obj1_3,0,0,1,plane,racket,plane,plane
4,same,4,learning,flush,filler,41,smick,13,3,1,obj1_1,0,1,1,guitar,sandwich,guitar,guitar
4,same,4,learning,flush,filler,42,channer,14,3,0,obj3_3,0,0,0,racket,phone,cookie,racket
4,same,4,learning,post-flush,target,43,zum,15,1,1,obj4_1,1,NA,NA,sunflower,sunflower,NA,NA
4,same,4,learning,post-flush,target,44,ruftin,16,1,1,obj2_1,1,NA,NA,strawberry,strawberry,NA,NA
4,same,4,learning,post-flush,target,45,loog,17,1,1,obj3_1,1,NA,NA,sofa,sofa,NA,NA
4,same,4,learning,post-flush,target,46,plyder,18,1,1,obj2_1,1,NA,NA,train,train,NA,NA
4,same,4,learning,post-flush,target,47,zum,15,2,1,obj1_4,1,1,NA,sunflower,sunflower,sunflower,NA
4,same,4,learning,post-flush,target,48,ruftin,16,2,1,obj1_2,1,1,NA,strawberry,strawberry,strawberry,NA
4,same,4,learning,post-flush,target,49,loog,17,2,1,obj1_3,1,1,NA,sofa,sofa,sofa,NA
4,same,4,learning,post-flush,target,50,plyder,18,2,1,obj1_2,1,1,NA,train,train,train,NA
4,same,4,learning,post-flush,target,51,zum,15,3,1,obj1_4,1,1,1,sunflower,sunflower,sunflower,sunflower
4,same,4,learning,post-flush,target,52,ruftin,16,3,1,obj1_2,1,1,1,strawberry,strawberry,strawberry,strawberry
4,same,4,learning,post-flush,target,53,loog,17,3,1,obj1_3,1,1,1,sofa,sofa,sofa,sofa
4,same,4,learning,post-flush,target,54,plyder,18,3,1,obj1_2,1,1,1,train,train,train,train
4,same,4,test,post-flush,target,55,zum,15,4,1,target_4,1,1,1,sunflower,sunflower,sunflower,sunflower
4,same,4,test,post-flush,target,56,ruftin,16,4,1,target_2,1,1,1,strawberry,strawberry,strawberry,strawberry
4,same,4,test,post-flush,target,57,loog,17,4,1,target_3,1,1,1,sofa,sofa,sofa,sofa
4,same,4,test,post-flush,target,58,plyder,18,4,1,target_2,1,1,1,train,train,train,train
4,same,4,test,flush,filler,59,glemp,5,4,1,target_1,0,0,0,chair,eraser,notebook,saw
4,same,4,test,flush,filler,60,heek,6,4,1,target_2,0,0,0,pliers,broccoli,pliers,acorn
4,same,4,test,flush,filler,61,toma,7,4,1,target_2,0,1,1,controller,flute,controller,controller
4,same,4,test,flush,filler,62,blicket,8,4,1,target_1,0,0,1,palm,hat,palm,palm
4,same,4,test,flush,filler,63,nortle,9,4,1,target_2,0,0,0,car,acorn,car,rose
4,same,4,test,flush,filler,64,vep,10,4,1,target_1,0,0,1,mitt,scissors,mitt,mitt
4,same,4,test,flush,filler,65,kuabid,11,4,1,target_2,0,1,1,helicopter,paperclip,helicopter,helicopter
4,same,4,test,flush,filler,66,wug,12,4,1,target_3,0,0,1,plane,racket,plane,plane
4,same,4,test,flush,filler,67,smick,13,4,1,target_1,0,1,1,guitar,sandwich,guitar,guitar
4,same,4,test,flush,filler,68,channer,14,4,0,foil1_2,0,0,0,phone,phone,cookie,racket
4,same,4,test,pre-flush,target,69,yate,1,4,1,target_2,1,1,1,apple,apple,apple,apple
4,same,4,test,pre-flush,target,70,fendle,2,4,1,target_1,1,1,1,bike,bike,bike,bike
4,same,4,test,pre-flush,target,71,mipen,3,4,1,target_2,1,1,1,dress,dress,dress,dress
4,same,4,test,pre-flush,target,72,dax,4,4,1,target_3,1,1,1,clarinet,clarinet,clarinet,clarinet
4,same,4,debrief,debrief,NA,Cheat,NA,NA,NA,NA,NA,NA,NA,NA,My data is good,NA,NA,NA
4,same,4,debrief,debrief,NA,Strategies,NA,NA,NA,NA,NA,NA,NA,NA,repetition,NA,NA,NA
4,same,4,debrief,debrief,NA,WriteDown,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
4,same,4,debrief,debrief,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,same,6,learning,warm-up,filler,1,glemp,5,1,0,obj4_1,0,NA,NA,eraser,eraser,NA,NA
4,same,6,learning,warm-up,filler,2,heek,6,1,0,obj1_1,0,NA,NA,broccoli,broccoli,NA,NA
4,same,6,learning,warm-up,filler,3,toma,7,1,0,obj1_1,0,NA,NA,bus,bus,NA,NA
4,same,6,learning,warm-up,filler,4,blicket,8,1,0,obj4_1,0,NA,NA,hat,hat,NA,NA
4,same,6,learning,warm-up,filler,5,nortle,9,1,0,obj1_1,0,NA,NA,acorn,acorn,NA,NA
4,same,6,learning,warm-up,filler,6,vep,10,1,0,obj2_1,0,NA,NA,mitt,mitt,NA,NA
4,same,6,learning,warm-up,filler,7,kuabid,11,1,0,obj3_1,0,NA,NA,helicopter,helicopter,NA,NA
4,same,6,learning,warm-up,filler,8,wug,12,1,0,obj3_1,0,NA,NA,pinecone,pinecone,NA,NA
4,same,6,learning,warm-up,filler,9,smick,13,1,0,obj1_1,0,NA,NA,sandwich,sandwich,NA,NA
4,same,6,learning,warm-up,filler,10,channer,14,1,0,obj1_1,0,NA,NA,lamp,lamp,NA,NA
4,same,6,learning,pre-flush,target,11,yate,1,1,1,obj2_1,1,NA,NA,apple,apple,NA,NA
4,same,6,learning,pre-flush,target,12,fendle,2,1,1,obj2_1,1,NA,NA,bag,bag,NA,NA
4,same,6,learning,pre-flush,target,13,mipen,3,1,1,obj2_1,1,NA,NA,dress,dress,NA,NA
4,same,6,learning,pre-flush,target,14,dax,4,1,1,obj4_1,1,NA,NA,computer,computer,NA,NA
4,same,6,learning,pre-flush,target,15,yate,1,2,0,obj2_2,1,0,NA,bed,apple,bed,NA
4,same,6,learning,pre-flush,target,16,fendle,2,2,1,obj1_2,1,1,NA,bag,bag,bag,NA
4,same,6,learning,pre-flush,target,17,mipen,3,2,0,obj3_4,1,0,NA,hammer,dress,hammer,NA
4,same,6,learning,pre-flush,target,18,dax,4,2,0,obj2_4,1,0,NA,clover,computer,clover,NA
4,same,6,learning,pre-flush,target,19,yate,1,3,0,obj2_2,1,0,0,drill,apple,bed,drill
4,same,6,learning,pre-flush,target,20,fendle,2,3,0,obj2_2,1,1,0,bed,bag,bag,bed
4,same,6,learning,pre-flush,target,21,mipen,3,3,0,obj4_2,1,0,0,belt,dress,hammer,belt
4,same,6,learning,pre-flush,target,22,dax,4,3,1,obj1_4,1,0,1,computer,computer,clover,computer
4,same,6,learning,flush,filler,23,glemp,5,2,0,obj4_2,0,0,NA,pineapple,eraser,pineapple,NA
4,same,6,learning,flush,filler,24,heek,6,2,0,obj4_3,0,0,NA,paperclip,broccoli,paperclip,NA
4,same,6,learning,flush,filler,25,toma,7,2,1,obj1_1,0,1,NA,flute,bus,flute,NA
4,same,6,learning,flush,filler,26,blicket,8,2,0,obj4_3,0,0,NA,racket,hat,racket,NA
