experiment,id,condition,phase,item,exposure,word,word_type,target_referent,selected_object,target_selected,selection,input
2,24517,Confirm,learning,11,2,smick,target,NA,bus,0,foil2,NA
2,24517,Confirm,learning,12,1,channer,target,NA,banana,1,target,NA
2,24517,Confirm,learning,13,1,zum,one-shot,NA,saw,1,target,NA
2,24517,Confirm,learning,14,2,channer,target,NA,desk,0,foil2,NA
2,24517,Confirm,learning,15,1,toma,filler,NA,dresser,0,foil1,NA
2,24517,Confirm,learning,16,1,ruftin,filler,NA,pinecone,0,foil1,NA
2,24517,Confirm,learning,17,1,nortle,filler,NA,pencil,0,foil1,NA
2,24517,Confirm,learning,18,3,kuabid,target,NA,orchid,1,target,NA
2,24517,Confirm,learning,19,1,blicket,filler,NA,lamp,0,foil1,NA
2,24517,Confirm,learning,20,3,dax,target,NA,hammer,0,foil3,NA
2,24517,Confirm,learning,21,2,plyder,filler,NA,scissors,0,foil2,NA
2,24517,Confirm,learning,22,2,heek,filler,NA,notebook,1,target,NA
2,24517,Confirm,learning,23,2,toma,filler,NA,harp,0,foil2,NA
2,24517,Confirm,learning,24,3,smick,target,NA,hat,0,foil3,NA
2,24517,Confirm,learning,25,2,ruftin,filler,NA,plane,1,target,NA
2,24517,Confirm,learning,26,3,channer,target,NA,guitar,0,foil3,NA
2,24517,Confirm,learning,27,2,nortle,filler,NA,harp,0,foil2,NA
2,24517,Confirm,learning,28,2,blicket,filler,NA,mouse,0,foil2,NA
2,24517,Confirm,test,29,test,kuabid,target,NA,orchid,1,target,NA
2,24517,Confirm,test,30,test,dax,target,NA,bike,1,target,NA
2,24517,Confirm,test,31,test,smick,target,NA,hammer,0,foil1,NA
2,24517,Confirm,test,32,test,channer,target,NA,mouse,0,foil1,NA
2,24517,Confirm,test,33,test,yate,one-shot,NA,chair,1,target,NA
2,24517,Confirm,test,34,test,fendle,one-shot,NA,rose,0,foil1,NA
2,24517,Confirm,test,35,test,mipen,one-shot,NA,paperclip,0,foil2,NA
2,24517,Confirm,test,36,test,zum,one-shot,NA,hat,0,foil1,NA
2,24517,Confirm,test,37,test,plyder,filler,NA,headphone,0,foil1,NA
2,24517,Confirm,test,38,test,heek,filler,NA,bat,0,foil3,NA
2,24517,Confirm,test,39,test,toma,filler,NA,dresser,0,foil1,NA
2,24517,Confirm,test,40,test,ruftin,filler,NA,pinecone,1,target,NA
2,24517,Confirm,test,41,test,nortle,filler,NA,screwdriver,0,foil3,NA
2,24517,Confirm,test,42,test,blicket,filler,NA,harp,0,foil1,NA
2,24517,Confirm,debrief,other languages,NA,NA,NA,NA,NA,NA,NA,no
2,24517,Confirm,debrief,Cheat,NA,NA,NA,NA,NA,NA,NA,My data is good
2,24517,Confirm,debrief,Strategies,NA,NA,NA,NA,NA,NA,NA,select objects that had a similar structure in its word than the word that was said.
2,24517,Confirm,debrief,WriteDown,NA,NA,NA,NA,NA,NA,NA,No I did not write down or find other ways to pass the test.
2,24517,Confirm,debrief,Other,NA,NA,NA,NA,NA,NA,NA,N/A
2,91701,Recall,learning,1,1,plyder,filler,NA,car,0,foil1,NA
2,91701,Recall,learning,2,1,heek,filler,NA,mitt,0,foil1,NA
2,91701,Recall,learning,3,1,kuabid,target,NA,bed,1,target,NA
2,91701,Recall,learning,4,1,yate,one-shot,NA,eraser,1,target,NA
2,91701,Recall,learning,5,2,kuabid,target,NA,bed,0,NA,NA
2,91701,Recall,learning,6,1,dax,target,NA,bookcase,1,target,NA
2,91701,Recall,learning,7,1,fendle,one-shot,NA,rose,1,target,NA
2,91701,Recall,learning,8,2,dax,target,NA,pineapple,0,NA,NA
2,91701,Recall,learning,9,1,smick,target,NA,hammer,1,target,NA
2,91701,Recall,learning,10,1,mipen,one-shot,NA,flute,1,target,NA
2,91701,Recall,learning,11,2,smick,target,NA,glove,0,NA,NA
2,91701,Recall,learning,12,1,channer,target,NA,clarinet,1,target,NA
2,91701,Recall,learning,13,1,zum,one-shot,NA,saw,1,target,NA
2,91701,Recall,learning,14,2,channer,target,NA,broccoli,0,NA,NA
2,91701,Recall,learning,15,1,toma,filler,NA,pants,0,foil1,NA
2,91701,Recall,learning,16,1,ruftin,filler,NA,pinecone,0,foil1,NA
2,91701,Recall,learning,17,1,nortle,filler,NA,keyboard,0,foil1,NA
2,91701,Recall,learning,18,3,kuabid,target,NA,bed,0,NA,NA
2,91701,Recall,learning,19,1,blicket,filler,NA,screwdriver,0,foil1,NA
2,91701,Recall,learning,20,3,dax,target,NA,bookcase,0,NA,NA
2,91701,Recall,learning,21,2,plyder,filler,NA,scissors,0,foil2,NA
2,91701,Recall,learning,22,2,heek,filler,NA,controller,0,foil2,NA
2,91701,Recall,learning,23,2,toma,filler,NA,headphone,0,foil2,NA
2,91701,Recall,learning,24,3,smick,target,NA,pineapple,0,NA,NA
2,91701,Recall,learning,25,2,ruftin,filler,NA,guitar,0,foil2,NA
2,91701,Recall,learning,26,3,channer,target,NA,clarinet,0,NA,NA
2,91701,Recall,learning,27,2,nortle,filler,NA,phone,0,foil2,NA
2,91701,Recall,learning,28,2,blicket,filler,NA,racket,0,foil2,NA
2,91701,Recall,test,29,test,kuabid,target,NA,bed,1,target,NA
