experiment,id,condition,phase,item,exposure,word,word_type,selected_object,target_selected,input
3,26,Confirm-first,learning,9,1,smick,filler,sandwich,0,obj1_1
3,26,Confirm-first,learning,10,1,channer,filler,phone,0,obj2_1
3,26,Confirm-first,learning,11,1,yate,target,apple,1,obj2_1
3,26,Confirm-first,learning,12,1,fendle,target,bike,1,obj1_1
3,26,Confirm-first,learning,13,1,mipen,target,bat,1,obj4_1
3,26,Confirm-first,learning,14,1,zum,target,clarinet,1,obj3_1
3,26,Confirm-first,learning,15,2,yate,target,apple,1,obj1_2
3,26,Confirm-first,learning,16,2,fendle,target,car,1,obj3_1
3,26,Confirm-first,learning,17,2,mipen,target,bat,1,obj1_4
3,26,Confirm-first,learning,18,2,zum,target,clarinet,1,obj1_3
3,26,Confirm-first,learning,19,1,yate,target,sunflower,0,obj4_1
3,26,Confirm-first,learning,20,1,fendle,target,strawberry,0,obj2_1
3,26,Confirm-first,learning,21,1,mipen,target,violin,0,obj2_1
3,26,Confirm-first,learning,22,1,zum,target,train,0,obj2_1
3,26,Confirm-first,learning,23,2,glemp,filler,tuba,0,obj2_1
3,26,Confirm-first,learning,24,2,heek,filler,broccoli,1,obj1_4
3,26,Confirm-first,learning,25,2,toma,filler,tuba,0,obj4_2
3,26,Confirm-first,learning,26,2,ruftin,filler,hat,1,obj1_3
3,26,Confirm-first,learning,27,2,nortle,filler,shoe,0,obj4_2
3,26,Confirm-first,learning,28,2,vep,filler,mitt,1,obj1_1
3,26,Confirm-first,learning,29,2,kuabid,filler,flute,1,obj3_3
3,26,Confirm-first,learning,30,2,dax,filler,plane,1,obj1_3
3,26,Confirm-first,learning,31,2,smick,filler,guitar,1,obj1_1
3,26,Confirm-first,learning,32,2,channer,filler,clarinet,0,obj2_2
3,26,Confirm-first,learning,33,3,glemp,filler,bookcase,0,obj3_1
3,26,Confirm-first,learning,34,3,heek,filler,broccoli,1,obj1_4
3,26,Confirm-first,learning,35,3,toma,filler,phone,0,obj3_4
