Results.reception.time,id,condition,phase,PennElementName,item,exposure,word,word_type,target_selection,target_typed,target_typed_edited,target_superordinate_typed,target_superordinate_selected,selected_object,Value,edited_value,typed_matches_guess_exactly,superordinate_selection,superordinate,typed_matches_guess_super,target_selected,selection,Comments
1702073033,10701,Confirm,learning,input,27,2,nortle,Foil,keyboard,foil,foil,other,super-stationery,skateboard,skateboard,skateboard,1,super-vehicle,super-vehicle,1,0,foil2,NULL
1702073033,10701,Confirm,learning,learning_selector,28,2,blicket,Foil,harp,foil,foil,other,super-tool,clover,obj2_3,NA,NA,super-plant,NA,0,0,foil2,obj2_3;obj3_3;obj4_1;obj1_3
1702073033,10701,Confirm,learning,input,28,2,blicket,Foil,harp,foil,foil,other,super-tool,clover,clover,clover,1,super-plant,super-plant,1,0,foil2,NULL
1702073033,10701,Confirm,test,test_selector,29,test,kuabid,Target,bed,bed,bed,super-furniture,super-furniture,bed,target_3,NA,NA,super-furniture,NA,0,1,target,target_3;foil3_1_2;foil1_1_3;foil2_1_2;foil3_3_4;foil2_2_4;foil3_2_3;foil1_2_3;foil1_3_3
1702073033,10701,Confirm,test,input,29,test,kuabid,Target,bed,bed,bed,super-furniture,super-furniture,bed,bed,bed,1,super-furniture,super-furniture,1,1,target,NULL
1702073033,10701,Confirm,test,test_selector,30,test,dax,Target,camera,camera,camera,super-electronic,super-electronic,hammer,foil2_2_2,NA,NA,super-tool,NA,0,0,foil2,foil1_2_4;target_4;foil1_3_4;foil2_1_4;foil2_2_2;foil3_1_3;foil1_1_4;foil3_3_3;foil3_2_1
1702073033,10701,Confirm,test,input,30,test,dax,Target,camera,camera,camera,super-electronic,super-electronic,hammer,hammer,hammer,1,super-tool,super-tool,1,0,foil2,NULL
1702073033,10701,Confirm,test,test_selector,31,test,smick,Target,dress,dress,dress,super-clothes,super-clothes,dress,target_2,NA,NA,super-clothes,NA,0,1,target,foil1_2_2;foil3_3_2;foil3_1_3;foil2_2_1;foil1_3_2;foil2_1_1;target_2;foil1_1_2;foil3_2_3
1702073033,10701,Confirm,test,input,31,test,smick,Target,dress,dress,dress,super-clothes,super-clothes,dress,dress,dress,1,super-clothes,super-clothes,1,1,target,NULL
1702073033,10701,Confirm,test,test_selector,32,test,channer,Target,clarinet,clarinet,clarinet,super-instrument,super-instrument,clarinet,target_3,NA,NA,super-instrument,NA,0,1,target,foil3_2_2;foil3_3_4;target_3;foil3_1_4;foil2_2_3;foil1_3_3;foil1_1_3;foil1_2_3;foil2_1_1
1702073033,10701,Confirm,test,input,32,test,channer,Target,clarinet,clarinet,clarinet,super-instrument,super-instrument,clarinet,clarinet,clarinet,1,super-instrument,super-instrument,1,1,target,NULL
1702073033,10701,Confirm,test,test_selector,33,test,yate,One-shot,glove,glove,glove,super-clothes,super-clothes,glove,target_1,NA,NA,super-clothes,NA,0,1,target,foil2_1_4;foil1_1_1;foil3_1_1;foil1_3_1;target_1;foil2_2_3;foil1_2_1;foil3_2_1;foil3_3_3
1702073033,10701,Confirm,test,input,33,test,yate,One-shot,glove,glove,glove,super-clothes,super-clothes,glove,glove,glove,1,super-clothes,super-clothes,1,1,target,NULL
1702073033,10701,Confirm,test,test_selector,34,test,fendle,One-shot,rose,rose,rose,super-plant,super-plant,racket,foil2_1_3,NA,NA,super-sports,NA,0,0,foil2,foil3_2_4;foil1_1_4;foil1_3_4;foil2_2_3;foil1_2_4;foil2_1_3;foil3_1_1;foil3_3_2;target_4
1702073033,10701,Confirm,test,input,34,test,fendle,One-shot,rose,rose,rose,super-plant,super-plant,racket,tennis racket,racket,1,super-sports,super-sports,1,0,foil2,NULL
1702073033,10701,Confirm,test,test_selector,35,test,mipen,One-shot,bus,bus,bus,super-vehicle,super-vehicle,eraser,foil3_1_1,NA,NA,super-stationery,NA,0,0,foil3,foil3_3_3;foil1_2_1;foil1_3_1;foil2_1_4;target_1;foil2_2_4;foil1_1_1;foil3_1_1;foil3_2_3
