trace,memory,mse,mape,rmse
0.78,3,0.26563315104166657,1.3090042106586222,0.5153961108134855
0.78,3.25,0.2659636510416666,1.3097143665158368,0.5157166383215366
0.78,3.5,0.2623372395833331,1.2987815799396676,0.5121886757663948
0.78,3.75,0.2713150468749999,1.3222799616641527,0.5208791096550138
0.78,4,0.26665247395833314,1.3119834873051779,0.5163840372807172
0.78,4.25,0.26853270833333326,1.3165378330819504,0.5182014167612177
0.78,4.5,0.266359015625,1.3099229355203619,0.5160998116885919
0.78,4.75,0.2699393177083334,1.3208517942433387,0.5195568474270486
0.78,5,0.2691553593749999,1.3179876036953244,0.518801849818406
0.78,5.25,0.27031796875,1.321184090623429,0.5199211178150008
0.78,5.5,0.2703929739583331,1.321403264831573,0.5199932441468188
0.78,5.75,0.2703860729166666,1.3214009081196578,0.5199866084012805
0.78,6,0.2715048854166666,1.3251095871040721,0.5210613067736527
0.78,6.25,0.2742035052083334,1.3319248051784818,0.5236444454096056
0.78,6.5,0.26981823437500013,1.3203250691302166,0.51944030876993
0.78,6.75,0.2708911666666665,1.3233707264957262,0.5204720613699323
0.78,7,0.2714890729166667,1.3254434546254399,0.5210461331942371
0.78,7.25,0.2739254895833331,1.330982120412267,0.5233789158758052
0.78,7.5,0.27352203124999996,1.3303579845399696,0.5229933376726705
0.85,1,0.26765173958333327,1.3140511092257414,0.5173506930345539
0.85,1.25,0.26798665104166663,1.3141084558823528,0.5176742711799251
0.85,1.5,0.26705384375000013,1.3118342288838614,0.5167725261176335
0.85,1.75,0.2663810885416668,1.30987658685269,0.5161211955942778
0.85,2,0.2703884583333329,1.3198010935143278,0.5199889021251636
0.85,2.25,0.26819288541666675,1.3143963675213677,0.5178734260576292
0.85,2.5,0.26740355208333344,1.3127985168426346,0.5171107735131163
0.85,2.75,0.2678690625,1.3137137066365008,0.5175606848476805
0.85,3,0.2718614010416669,1.3240989504776275,0.5214032997993654
0.85,3.25,0.2679563385416666,1.3146721028154849,0.5176449927717515
0.85,3.5,0.2694681718750001,1.318579138386124,0.5191032381665521
