trace,memory,mse,mape,rmse
0.22,8.75,0.014149068478009575,0.2153202034637282,0.11894985699028636
0.22,9,0.014552962716592887,0.2191353763406646,0.12063566104843496
0.22,9.25,0.014854699402801206,0.2202795322587444,0.12187985642755413
0.22,9.5,0.015080041061758571,0.21805695346506837,0.12280081865263998
0.22,9.75,0.015822687151788414,0.22323120205861352,0.12578826317184133
0.22,10,0.016689124977802148,0.22817934476303706,0.12918639625673498
0.22,10.25,0.017286843656435267,0.22663159033646402,0.13147944195361977
0.22,10.5,0.017837608281267143,0.23466901481778948,0.13355750926573595
0.29,3,0.03629253095110951,0.2757494185837305,0.1905059866542506
0.29,3.25,0.032836628779581364,0.2648472062554541,0.18120879884702443
0.29,3.5,0.029376422998418805,0.25247303068934496,0.17139551627279753
0.29,3.75,0.02765207012357895,0.24948378987180267,0.16628911607071267
0.29,4,0.024832082241285573,0.23849384330359238,0.15758198577656513
0.29,4.25,0.0225897625554913,0.22900341965803628,0.1502989106929631
0.29,4.5,0.02031982011800113,0.22506571194333092,0.14254760649692133
0.29,4.75,0.018974842709092228,0.21528067634399747,0.13774920220855083
0.29,5,0.01775417474151251,0.20881578105394105,0.13324479254932445
0.29,5.25,0.016708697362425147,0.20517841774183002,0.12926212655849798
0.29,5.5,0.015461025939598335,0.20065459679990746,0.1243423738698853
0.29,5.75,0.014469543504429144,0.19251756477528592,0.12028941559600805
0.29,6,0.013742463660737612,0.18981039572559286,0.1172282545325043
0.29,6.25,0.013226633037470969,0.18881163358578065,0.11500709994374682
0.29,6.5,0.013312213609532044,0.18717845584719117,0.11537856650839463
0.29,6.75,0.013319909889300274,0.19491021784812013,0.1154119139833504
0.29,7,0.012828154102973017,0.19404952083730245,0.11326144137778318
0.29,7.25,0.012888647276434807,0.19682231282096252,0.11352817833663503
0.29,7.5,0.01318828913971992,0.20211899543581796,0.11484027664421538
0.29,7.75,0.013418133346272888,0.2014912493245547,0.115836666674559
0.29,8,0.013578055272172356,0.21313946976046771,0.11652491266751654
0.29,8.25,0.01356014727142377,0.2052440691801308,0.11644804537399402
0.29,8.5,0.014374100896198214,0.21656619628021073,0.11989203850213831
0.29,8.75,0.014168632007016086,0.2123779375482865,0.11903206293690825
0.29,9,0.014751509973937604,0.21719876478340264,0.12145579432014597
0.29,9.25,0.015108137525197497,0.21460302264471026,0.1229151639351203
0.29,9.5,0.015832112734463694,0.218711628489864,0.12582572365960665
0.29,9.75,0.01652943376004742,0.22487988089032523,0.12856684549310302
0.29,10,0.016874983727155245,0.2230755408039524,0.12990374793344203
0.29,10.25,0.0176849901651128,0.22853116938603413,0.13298492457836264
0.29,10.5,0.018043627602886136,0.23121765504176442,0.13432657072554982
0.36,3,0.024561662703228803,0.2263826859890533,0.15672160892240994
0.36,3.25,0.02283389019033165,0.2252561218141085,0.1511088686686908
0.36,3.5,0.021368183890744824,0.22096625003441075,0.1461786027116993
0.36,3.75,0.019766689660726176,0.21840791384376018,0.14059405983442605
0.36,4,0.018117095601352978,0.2108445034017505,0.13459976077747307
0.36,4.25,0.017616534321250425,0.2107012894120654,0.13272729305327682
0.36,4.5,0.016267511043816914,0.2039717011957343,0.1275441533109884
0.36,4.75,0.015977295036434976,0.20513775381679883,0.12640132529540574
